Hangi yıl Japonya'nın Hiroşima ve Nagazaki'ye atom bombası atılmıştır?,1945
Hangi yıl Rusya'da Ekim Devrimi gerçekleşmiştir?,1917
Hangi yıl ABD'de Kölelik Karşıtı Bildiri yayınlanmıştır?,1863
Hangi yıl Hindistan bağımsızlığını kazanmıştır?,1947
Hangi yıl Roma İmparatorluğu'nun Batı yarısı çökmüştür?,476
Hangi yıl Nelson Mandela Güney Afrika Cumhuriyeti'nin ilk siyahi başkanı olarak göreve başlamıştır?,1994
Hangi yıl Çin'de Kültür Devrimi başlamıştır?,1966
Hangi yıl Avrupa'da Kara Ölüm salgını yaşanmıştır?,1347
Hangi yıl Amerika Birleşik Devletleri'nde kadınlara oy hakkı tanınmıştır?,1920
Hangi yıl İngiltere'de Magna Carta imzalanmıştır?,1215
Hangi yıl Türkiye'de Cumhuriyet ilan edilmiştir?,1923
Hangi yıl Nelson Mandela serbest bırakılmıştır?,1990
Hangi yıl Napolyon Bonapart Fransa İmparatoru ilan edilmiştir?,1804
Hangi yıl Vietnam Savaşı sona ermiştir?,1975
Hangi yıl Berlin'in bölünmesi tamamlanmıştır?,1961
Hangi yıl Türkiye'de İstanbul'un fethi kutlanmaktadır?,29 Mayıs
Hangi yıl Roma İmparatorluğu'nun Doğu yarısı çökmüştür?,1453
Hangi yıl Amerika Birleşik Devletleri'nde 11 Eylül saldırıları gerçekleşmiştir?,2001
Hangi yıl Fransız İhtilali sona ermiştir?,1799
Yazılım geliştirme yaşam döngüsünün adımları nelerdir?,"İhtiyaç analizi, Tasarım, Geliştirme, Test, Dağıtım ve Bakım"
Nesne yönelimli programlama nedir?,Programlama paradigmalarından biridir ve nesnelerin birbirleriyle etkileşimde bulunarak çalıştığı bir yaklaşımdır.
Git nedir ve ne amaçla kullanılır?,Dağıtık bir versiyon kontrol sistemidir ve yazılım geliştirme sürecinde kodun sürüm kontrolünü sağlar.
Python'da bir modülü başka bir dosyadan nasıl içe aktarırız?,import anahtar kelimesi kullanarak
Bir Python paketini (package) nasıl oluştururuz?,__init__.py adında bir dosya içeren bir dizin oluşturarak
Python'da try-except blokları ne işe yarar?,Belirli bir hata durumunda programın çökmesini önlemek ve hatayı ele almak için kullanılır.
Python'da bir dosyayı okumak için hangi fonksiyon kullanılır?,open() fonksiyonu
Bir HTML dosyasını parse etmek için hangi Python kütüphanesi kullanılır?,BeautifulSoup
Python'da bir fonksiyonun parametre olarak varsayılan değeri nasıl atanır?,Fonksiyon tanımında parametre adının yanına varsayılan değeri atayarak
Bir Python sınıfının yapıcı metodu (constructor) ne adıyla tanımlanır?,__init__
Bir Python sınıfı nasıl kalıtım alır?,Yeni sınıf tanımında parantez içinde üst sınıfın adını belirterek
Python'da bir liste içindeki tüm öğeleri tek bir satırda döngü kullanmadan nasıl işleriz?,List Comprehension kullanarak
Python'da bir diziyi tersine çevirmek için hangi yöntemi kullanabiliriz?,reverse()
Python'da bir stringi tam sayıya dönüştürmek için hangi fonksiyon kullanılır?,int()
Python'da bir stringi liste haline getirmek için hangi metot kullanılır?,split()
Python'da bir sözlükten belirli bir anahtara karşılık gelen değeri nasıl alabiliriz?,get() metodu kullanarak
Bir Python dosyasında bir fonksiyonu başka bir dosyadan içe aktarmak için hangi anahtar kelime kullanılır?,from
Python'da bir dizeyi büyük harfe dönüştürmek için hangi yöntemi kullanabiliriz?,upper()
Python'da bir dizinin uzunluğunu nasıl buluruz?,len() fonksiyonu kullanarak
Python'da bir döngüyü belirli bir koşul karşılanana kadar çalıştırmak için hangi anahtar kelime kullanılır?,while
Python'da bir dizinin belirli bir kısmını seçmek için hangi dilimleme yöntemini kullanabiliriz?,slice
Python'da bir liste içindeki tüm öğeleri toplamak için hangi fonksiyon kullanılır?,sum()
Python'da bir listeden belirli bir öğeyi kaldırmak için hangi metot kullanılır?,remove()
Python'da bir string'i başka bir string ile birleştirmek için hangi operatör kullanılır?,+
Python'da bir döngüde bir sonraki adıma geçmek için hangi anahtar kelime kullanılır?,continue
Nohutlu pilav tarifi nedir?,"Nohut, pirinç, soğan, tuz, sıvı yağ ve su kullanılarak yapılan bir pilav tarifidir."
Kuru fasulye tarifi nedir?,"Kuru fasulye, soğan, domates, biber, salça ve baharatlar kullanılarak yapılan bir yemek tarifidir."
Karnabahar graten tarifi nedir?,"Karnabahar, beşamel sos, rendelenmiş kaşar peyniri ve galeta unu kullanılarak yapılan bir graten tarifidir."
Mercimek çorbası tarifi nedir?,"Kırmızı mercimek, soğan, havuç, domates, tuz, karabiber ve su kullanılarak yapılan bir çorba tarifidir."
Tavuklu pilav tarifi nedir?,"Tavuk eti, pirinç, tavuk suyu veya su, tuz, karabiber ve isteğe bağlı olarak sebzeler kullanılarak yapılan bir pilav tarifidir."
Patates graten tarifi nedir?,"Patates, süt, krema, rendelenmiş kaşar peyniri, tuz, karabiber ve muskat kullanılarak yapılan bir graten tarifidir."
Ispanaklı börek tarifi nedir?,"Yufka veya böreklik hamur, ıspanak, beyaz peynir, yumurta ve baharatlar kullanılarak yapılan bir börek tarifidir."
Fırında somon tarifi nedir?,"Somon balığı, limon suyu, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir somon tarifidir."
Mantar sote tarifi nedir?,"Mantar, soğan, sarımsak, tuz, karabiber, zeytinyağı ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir sote tarifidir."
Köfte tarifi nedir?,"Kıyma, soğan, ekmek içi, yumurta, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir köfte tarifidir."
Kadayıf tatlısı tarifi nedir?,"Kadayıf tel, ceviz içi, şeker, su, limon suyu, tereyağı ve isteğe bağlı olarak şerbet kullanılarak yapılan bir tatlı tarifidir."
Mevsim salata tarifi nedir?,"Mevsim sebzeleri (domates, salatalık, biber, marul, roka vb.), zeytinyağı, limon suyu, tuz ve isteğe bağlı olarak peynir kullanılarak yapılan bir salata tarifidir."
Pancake tarifi nedir?,"Un, süt, yumurta, tuz, kabartma tozu, şeker ve isteğe bağlı olarak vanilya kullanılarak yapılan bir krep tarifidir."
Pizza tarifi nedir?,"Pizza hamuru, pizza sosu, rendelenmiş kaşar peyniri ve isteğe bağlı olarak çeşitli malzemeler kullanılarak yapılan bir pizza tarifidir."
Patlıcan kebabı tarifi nedir?,"Patlıcan, kıyma, soğan, biber, domates, sarımsak, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir kebap tarifidir."
Mantar çorbası tarifi nedir?,"Mantar, soğan, süt, krema, un, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir çorba tarifidir."
Güveçte tavuk tarifi nedir?,"Tavuk eti, patates, havuç, bezelye, soğan, sarımsak, domates, biber, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir yemek tarifidir."
Fırında sebzeli tavuk tarifi nedir?,"Tavuk eti, patates, havuç, kabak, biber, soğan, sarımsak, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Muhallebi tarifi nedir?,"Süt, nişasta veya un, şeker ve isteğe bağlı olarak vanilya kullanılarak yapılan bir muhallebi tarifidir."
Tiramisu tarifi nedir?,"Savoiardi bisküvi, kahve, mascarpone peyniri, yumurta, şeker, kakao ve isteğe bağlı olarak likör kullanılarak yapılan bir tatlı tarifidir."
Karnabahar çorbası tarifi nedir?,"Karnabahar, soğan, sarımsak, süt, su, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir çorba tarifidir."
Elmalı turta tarifi nedir?,"Elma dilimleri, tuzlu hamur, şeker, tarçın ve isteğe bağlı olarak vanilya kullanılarak yapılan bir turta tarifidir."
Etli dolma tarifi nedir?,"Biber, patlıcan veya kabak içi, pirinç, kıyma, soğan, domates, salça, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir dolma tarifidir."
Fırında kaşarlı patates tarifi nedir?,"Patates, rendelenmiş kaşar peyniri, tereyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Kuru köfte tarifi nedir?,"Kıyma, kuru soğan, ekmek içi, yumurta, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir köfte tarifidir."
Çıtır tavuk tarifi nedir?,"Tavuk parçaları, un, yumurta, galeta unu, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tavuk tarifidir."
Ispanak çorbası tarifi nedir?,"Ispanak, soğan, süt, un, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir çorba tarifidir."
Tavuklu mantar sote tarifi nedir?,"Tavuk eti, mantar, soğan, sarımsak, krema, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir sote tarifidir."
Kolay poğaça tarifi nedir?,"Un, yoğurt, sıvı yağ, kabartma tozu, tuz ve isteğe bağlı olarak peynir veya zeytin kullanılarak yapılan bir poğaça tarifidir."
Fırında kabak tarifi nedir?,"Kabak dilimleri, rendelenmiş kaşar peyniri, süt, yumurta, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Çikolatalı pasta tarifi nedir?,"Un, kakao, şeker, yumurta, süt, kabartma tozu ve isteğe bağlı olarak çikolata sosu veya krema kullanılarak yapılan bir pasta tarifidir."
Fırında sebzeli balık tarifi nedir?,"Balık filetosu, patates, havuç, kabak, soğan, sarımsak, zeytinyağı, limon suyu, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Mısır ekmeği tarifi nedir?,"Mısır unu, buğday unu, süt, yumurta, tuz, şeker ve kabartma tozu kullanılarak yapılan bir ekmek tarifidir."
Kabak kızartması tarifi nedir?,"Kabak dilimleri, un, yumurta, galeta unu, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir kızartma tarifidir."
İmam bayıldı tarifi nedir?,"Patlıcan, soğan, sarımsak, domates, yeşil biber, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir yemek tarifidir."
Kuşbaşı kebap tarifi nedir?,"Dana eti, soğan, biber, domates, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir kebap tarifidir."
Bulgur pilavı tarifi nedir?,"Bulgur, soğan, biber, tuz, karabiber ve isteğe bağlı olarak yağ kullanılarak yapılan bir pilav tarifidir."
Fırında tavuk kanadı tarifi nedir?,"Tavuk kanatları, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Elmalı turta tarifi nedir?,"Elma dilimleri, tuzlu hamur, şeker, tarçın ve isteğe bağlı olarak vanilya kullanılarak yapılan bir turta tarifidir."
Pirinç pilavı tarifi nedir?,"Pirinç, su veya tavuk suyu, tuz, karabiber ve isteğe bağlı olarak yağ kullanılarak yapılan bir pilav tarifidir."
Kuşbaşı et sote tarifi nedir?,"Dana eti, soğan, biber, domates, sarımsak, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir sote tarifidir."
Mısır çorbası tarifi nedir?,"Mısır, soğan, süt, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir çorba tarifidir."
Kabak çiçeği dolması tarifi nedir?,"Kabak çiçekleri, pirinç, soğan, maydanoz, dereotu, tuz, karabiber, zeytinyağı ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir dolma tarifidir."
Fırında sebzeli tavuk tarifi nedir?,"Tavuk parçaları, patates, havuç, kabak, biber, soğan, sarımsak, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Mantarlı omlet tarifi nedir?,"Yumurta, mantar, soğan, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir omlet tarifidir."
Kereviz kökü yemeği tarifi nedir?,"Kereviz kökü, soğan, sarımsak, domates, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir yemek tarifidir."
Kıymalı patates graten tarifi nedir?,"Kıyma, patates, rendelenmiş kaşar peyniri, süt, yumurta, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir graten tarifidir."
Balık köftesi tarifi nedir?,"Balık filetosu, soğan, sarımsak, maydanoz, ekmek içi, yumurta, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir köfte tarifidir."
Fırında sebzeli balık tarifi nedir?,"Balık filetosu, patates, havuç, kabak, soğan, sarımsak, zeytinyağı, limon suyu, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Kabak kızartması tarifi nedir?,"Kabak dilimleri, un, yumurta, galeta unu, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir kızartma tarifidir."
Fırında sebzeli tavuk tarifi nedir?,"Tavuk parçaları, patates, havuç, kabak, biber, soğan, sarımsak, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir tarifidir."
Mantar çorbası tarifi nedir?,"Mantar, soğan, süt, krema, un, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir çorba tarifidir."
Güveçte tavuk tarifi nedir?,"Tavuk eti, patates, havuç, bezelye, soğan, sarımsak, domates, biber, zeytinyağı, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir yemek tarifidir."
Karnabahar çorbası tarifi nedir?,"Karnabahar, soğan, sarımsak, süt, un, tuz, karabiber ve isteğe bağlı olarak baharatlar kullanılarak yapılan bir çorba tarifidir."
Elmalı kurabiye tarifi nedir?,"Un, elma, tereyağı, şeker, vanilya, kabartma tozu ve isteğe bağlı olarak tarçın kullanılarak yapılan bir kurabiye tarifidir."
Eczane nedir?,"İlaç ve ilaç dışı ürünlerin satıldığı, reçeteli ve reçetesiz ilaçların dağıtıldığı sağlık kuruluşlarıdır."
Eczacının temel görevleri nelerdir?,"İlaç hazırlama, ilaç dağıtma, hastalara ilaçla ilgili danışmanlık yapma ve sağlık hizmetlerine katkıda bulunma gibi görevleri vardır."
Reçeteli ilaç nedir?,Bir doktor tarafından yazılan ve eczacı tarafından sadece reçeteyle verilebilen ilaçlardır.
Reçetesiz ilaç nedir?,Doktor kontrolü olmadan eczanelerden alınabilen ilaçlardır.
Nöbetçi eczane nedir?,"Belirli saatlerde, diğer eczanelerin kapalı olduğu zamanlarda hizmet veren eczanelerdir."
Eczacılar ne tür eğitim alırlar?,Eczacılık fakültesinde lisans eğitimi alırlar.
Hangi organlar eczanelerde ilaç satışı yapabilir?,Sadece ruhsatlı eczacılar ilaç satabilir.
Bir ilacın yan etkileri neler olabilir?,"Baş dönmesi, mide bulantısı, uyku hali gibi yan etkiler olabilir."
İlaçların saklanma koşulları nelerdir?,"Genellikle serin, kuru ve ışık almayan yerlerde saklanmalıdır."
İlaç etkileşimi nedir?,"Bir ilacın, başka bir ilaçla ya da gıda ile etkileşime girerek beklenmeyen sonuçlara yol açması durumudur."
İlaçlar nasıl sınıflandırılır?,"Fonksiyonlarına, kimyasal yapılarına ve etki mekanizmalarına göre sınıflandırılabilirler."
Antibiyotikler ne işe yarar?,Bakteriyel enfeksiyonları tedavi etmek için kullanılırlar.
Analjezikler ne işe yarar?,"Ağrı kesici ilaçlardır, ağrıyı azaltmak için kullanılırlar."
Antidepresanlar ne işe yarar?,Depresyon ve diğer ruhsal bozuklukların tedavisinde kullanılırlar.
Antihistaminikler ne işe yarar?,Allerjik reaksiyonları azaltmak için kullanılırlar.
Antiemetikler ne işe yarar?,Mide bulantısı ve kusmayı önlemek için kullanılırlar.
Antiasitler ne işe yarar?,Mide asidini nötralize ederek mide ekşimesi ve yanması gibi şikayetleri azaltmak için kullanılırlar.
Antikoagülanlar ne işe yarar?,Kan pıhtılarını önlemek için kullanılırlar.
Eczane teknisyeni nedir?,"Eczanelerde eczacıya yardımcı olan kişidir, ilaç hazırlama ve müşteri hizmetleri gibi görevleri vardır."
Eczane teknisyeni nasıl olunur?,Genellikle bir eğitim programına katılarak ve sınavları başararak olunabilir.
Reçete nasıl yazılır?,Doktorlar tarafından hastanın şikayetlerine ve teşhise göre önerilen ilaçların listesidir.
Nasıl bir eğitim almak eczacı olmak için gereklidir?,Eczacılık fakültesinden lisans derecesi almak gerekir.
Eczacılar hangi etik kurallara uymak zorundadır?,"Hastaların gizliliğini korumak, doğru bilgi vermek, ilaçları güvenli bir şekilde saklamak gibi etik kurallara uymak zorundadır."
Eczacılar hangi tür bilgi kaynaklarını kullanır?,"İlaç bilgi kaynakları, sağlık literatürü, hasta dosyaları gibi çeşitli bilgi kaynaklarını kullanırlar."
Hangi durumlarda eczaneye gitmek gerekir?,"Hastalık durumunda, ilaç ihtiyacı olduğunda, sağlık danışmanlığı almak için eczaneye gidilmelidir."
Reçete dışı ilaçlar ne tür şikayetlerde kullanılabilir?,"Baş ağrısı, ateş, burun tıkanıklığı gibi hafif rahatsızlıklarda kullanılabilirler."
Hangi durumlarda doktora gitmek gerekir?,"Ağır hastalıklar, kronik rahatsızlıklar, şiddetli ağrılar gibi durumlarda doktora gitmek gerekir."
